URN,Name,UUID,Geometry
"urn:pronto:UNLOCODE:PORT:TWKHH","Kaohsiung","f3808136-cd1b-3293-bb95-679172e9c5da","Polygon(List(List((120.3003,22.5514), (120.2989,22.5478), (120.3016,22.5462), (120.305,22.5454), (120.3106,22.5459), (120.3503,22.5252), (120.3642,22.5329), (120.3468,22.5541), (120.3224,22.5692), (120.3045,22.5971), (120.2924,22.6211), (120.2785,22.6217), (120.269,22.6202), (120.2664,22.6181), (120.2652,22.6158), (120.2663,22.6137), (120.29,22.5833), (120.3112,22.5607), (120.3003,22.5514))))"
"urn:uuid:9f8b9a57-05c8-4809-b901-1df7e9548362","TWKHH - 1","9f8b9a57-05c8-4809-b901-1df7e9548362","Polygon(List(List((120.31921383762,22.5598966085345), (120.318898284434,22.5596665795435), (120.315623575242,22.5635410378144), (120.315939139697,22.5637711459321), (120.31921383762,22.5598966085345))))"
"urn:uuid:428e051b-1783-48c2-905e-3d71177d56df","TWKHH - 2","428e051b-1783-48c2-905e-3d71177d56df","Polygon(List(List((120.327941233125,22.5535864574737), (120.328263006294,22.5538199619383), (120.329795311102,22.5519982609949), (120.329473542158,22.5517647564774), (120.327941233125,22.5535864574737))))"
"urn:uuid:fe218619-c155-40a8-acbd-84298df876c8","TWKHH - 3","fe218619-c155-40a8-acbd-84298df876c8","Polygon(List(List((120.298143685833,22.5842340544848), (120.298040581268,22.5844971114883), (120.299639732135,22.5850376015849), (120.299742837103,22.5847745445992), (120.298143685833,22.5842340544848))))"
"urn:uuid:fa349b01-fbdc-4bb5-9a1d-3a54ceebc4f3","TWKHH - 4","fa349b01-fbdc-4bb5-9a1d-3a54ceebc4f3","Polygon(List(List((120.294389293369,22.6010317159581), (120.294619186942,22.6011052152851), (120.294986480319,22.6001147718632), (120.294756588391,22.6000412725271), (120.294389293369,22.6010317159581))))"
"urn:uuid:e750486b-bfdc-45bc-8678-623cc7347d95","TWKHH - 5","e750486b-bfdc-45bc-8678-623cc7347d95","Polygon(List(List((120.294664369435,22.6012846107635), (120.294327543992,22.6011769313056), (120.293590701371,22.6031638134187), (120.293927551803,22.6032715142735), (120.294664369435,22.6012846107635))))"
"urn:uuid:3dc48bad-888d-446d-98d5-fbabc8f5c8e9","TWKHH - 6","3dc48bad-888d-446d-98d5-fbabc8f5c8e9","Polygon(List(List((120.288128252115,22.599216691397), (120.288338448224,22.5992877278634), (120.28871099243,22.5983373297708), (120.288500797764,22.598266293296), (120.288128252115,22.599216691397))))"
"urn:uuid:5c9157b6-fa34-4585-a52a-5e59f6c5b675","TWKHH - 7","5c9157b6-fa34-4585-a52a-5e59f6c5b675","Polygon(List(List((120.287717473792,22.6003105854664), (120.287945949664,22.6003877989282), (120.288345106638,22.599369515368), (120.288116632447,22.5992923018964), (120.287717473792,22.6003105854664))))"
"urn:uuid:17d1b210-2850-45f0-a6c0-bc10ae8918fb","TWKHH - 8","17d1b210-2850-45f0-a6c0-bc10ae8918fb","Polygon(List(List((120.292135317795,22.6066492905369), (120.292487651383,22.6067755170167), (120.293941160676,22.6032774935561), (120.293588870799,22.6031513103594), (120.292135317795,22.6066492905369))))"
"urn:uuid:fec495ef-1c8e-4a55-9e94-431b75d5e7e5","TWKHH - 9","fec495ef-1c8e-4a55-9e94-431b75d5e7e5","Polygon(List(List((120.34546161911,22.540125209954), (120.345736921959,22.5404410155564), (120.347935374219,22.5387872556965), (120.34766007465,22.5384714500292), (120.34546161911,22.540125209954))))"
"urn:uuid:7496fc4a-4413-48e4-8805-dd642c1e7fd8","TWKHH - 10","7496fc4a-4413-48e4-8805-dd642c1e7fd8","Polygon(List(List((120.345012366226,22.5392335079281), (120.34528766739,22.5395493135027), (120.347463440218,22.5379126024833), (120.347188142299,22.5375967968445), (120.345012366226,22.5392335079281))))"
"urn:uuid:4539df7f-636e-4980-bacd-2a32753100b8","TWKHH - 11","4539df7f-636e-4980-bacd-2a32753100b8","Polygon(List(List((120.340556156088,22.5412148857238), (120.340779379959,22.5414534209745), (120.342217390977,22.5402922257672), (120.341994168973,22.540053690482), (120.340556156088,22.5412148857238))))"
"urn:uuid:3f54eb78-a254-43a4-9eb5-21848f3fc58e","TWKHH - 12","3f54eb78-a254-43a4-9eb5-21848f3fc58e","Polygon(List(List((120.330495178169,22.5604670242189), (120.330211689699,22.5602613283412), (120.329012177627,22.5616872959599), (120.329295669935,22.5618930178924), (120.330495178169,22.5604670242189))))"
"urn:uuid:2bb5b0b1-f39b-4999-a02a-364b27a97624","TWKHH - 13","2bb5b0b1-f39b-4999-a02a-364b27a97624","Polygon(List(List((120.298994906983,22.5945776520311), (120.299270766417,22.5946658513179), (120.299723528759,22.5934448725883), (120.299447671758,22.593356673288), (120.298994906983,22.5945776520311))))"
