Data_waalhaven.FEATUREID;Data_waalhaven.RESTRICTION_TYPE;Data_waalhaven.VESSEL_TYPE;Data_waalhaven.VESSEL_LENGTH_FROM;Data_waalhaven.VESSEL_LENGTH_TO;Data_waalhaven.VESSEL_BEAM_FROM;Data_waalhaven.VESSEL_BEAM_TO;Data_waalhaven.VESSEL_DRAUGHT_FROM;Data_waalhaven.VESSEL_DRAUGHT_TO;Data_waalhaven.VESSEL_HEIGHT_FROM;Data_waalhaven.VESSEL_HEIGHT_TO;Data_waalhaven.VESSEL_TONNAGE_FROM;Data_waalhaven.VESSEL_TONNAGE_TO;Data_waalhaven.VESSEL_DIRECTION;Data_waalhaven.SPECIAL_TRANSPORT;Data_waalhaven.VISIBILITY_FROM;Data_waalhaven.VISIBILITY_TO;Data_waalhaven.WIND_DIRECTION_FROM;Data_waalhaven.WIND_DIRECTION_TO;Data_waalhaven.WIND_SPEED_FROM;Data_waalhaven.WIND_SPEED_TO;Data_waalhaven.CURRENT_FROM;Data_waalhaven.CURRENT_TO;Data_waalhaven.CURRENT_TREND;Data_waalhaven.LIGHT_CONDITION;Data_waalhaven.RESTRICTION_VALUE;Data_waalhaven.RESTRICTION_UNIT;Data_waalhaven.RESTRICTION_DESCRIPTION;Data_waalhaven.POLICY_CLEARANCE;Data_waalhaven.POLICY_TUG_NUMBER;Data_waalhaven.POLICY_TUG_TYPE;Data_waalhaven.POLICY_TUG_BOLLARD_PULL;Data_waalhaven.POLICY_REMARKS;Data_waalhaven.STATUS;Data_waalhaven.DATASOURCE;Data_waalhaven.SURVEYMETHOD;Data_waalhaven.SURVEYPRECISION;Data_waalhaven.SURVEYDATE;Data_waalhaven.FUNCSTARTDATE;Data_waalhaven.FUNCENDDATE
N Z100/6/1254;MINIMUM_UKC;ALL;;;;;17,4;;;;;;INBOUND_OUTBOUND;;;;;;;;;;;;0,5;METERS;;;;;;;;;;;;;
N Z100/6/1222;MINIMUM_UKC;ALL;;;;;17,4;;;;;;INBOUND_OUTBOUND;;;;;;;;;;;;0,5;METERS;;;;;;;;;;;;;
N Z100/6/1237;MINIMUM_UKC;ALL;;;;;17,4;;;;;;INBOUND_OUTBOUND;;;;;;;;;;;;0,5;METERS;;;;;;;;;;;;;
N Z100/6/1237;FRESH_WATER_ALLOWANCE;ALL;;;;;17,4;;;;;;INBOUND_OUTBOUND;;;;;;;;;;;;2,5;PERCENTAGE;;;;;;;;;;;;;
N Z100/6/61;MINIMUM_UKC_LONG_TERM;ALL;;;;;17,4;;;;;;INBOUND_OUTBOUND;;;;;;;;;;;;0,3;METERS;;;;;;;;;;;;;
N Z100/6/1211;MINIMUM_UKC_LONG_TERM;ALL;;;;;17,4;;;;;;INBOUND_OUTBOUND;;;;;;;;;;;;0,3;METERS;;;;;;;;;;;;;
N Z100/6/102;FRESH_WATER_ALLOWANCE;ALL;;;;;17,4;;;;;;INBOUND_OUTBOUND;;;;;;;;;;;;2,5;PERCENTAGE;;;;;;;;;;;;;
N Z100/6/1241;MINIMUM_UKC_LONG_TERM;ALL;;;;;17,4;;;;;;INBOUND_OUTBOUND;;;;;;;;;;;;0,3;METERS;;;;;;;;;;;;;
N Z100/6/1327;MINIMUM_UKC;ALL;;;;;17,4;;;;;;INBOUND_OUTBOUND;;;;;;;;;;;;0,5;METERS;;;;;;;;;;;;;
N Z100/6/1771;MINIMUM_UKC;ALL;;;;;17,4;;;;;;INBOUND_OUTBOUND;;;;;;;;;;;;0,5;METERS;;;;;;;;;;;;;
N Z100/6/64;MINIMUM_UKC;ALL;;;;;;17,4;;;;;INBOUND_OUTBOUND;;;;;;;;;;;;0,3;METERS;;;;;;;;;;;;;
N Z100/6/979;FRESH_WATER_ALLOWANCE;ALL;;;;;;17,4;;;;;INBOUND_OUTBOUND;;;;;;;;;;;;2,5;PERCENTAGE;;;;;;;;;;;;;
N Z100/6/971;FRESH_WATER_ALLOWANCE;ALL;;;;;;17,4;;;;;INBOUND_OUTBOUND;;;;;;;;;;;;2,5;PERCENTAGE;;;;;;;;;;;;;
N Z100/6/274;FRESH_WATER_ALLOWANCE;ALL;;;;;;17,4;;;;;INBOUND_OUTBOUND;;;;;;;;;;;;2,5;PERCENTAGE;;;;;;;;;;;;;
N Z100/6/979;MINIMUM_UKC;ALL;;;;;;17,4;;;;;INBOUND_OUTBOUND;;;;;;;;;;;;0,3;METERS;;;;;;;;;;;;;
N Z100/6/1325;FRESH_WATER_ALLOWANCE;ALL;;;;;;17,4;;;;;INBOUND_OUTBOUND;;;;;;;;;;;;2,5;PERCENTAGE;;;;;;;;;;;;;
N Z100/6/162;FRESH_WATER_ALLOWANCE;ALL;;;;;;17,4;;;;;INBOUND_OUTBOUND;;;;;;;;;;;;2,5;PERCENTAGE;;;;;;;;;;;;;
N Z100/6/1221;MINIMUM_UKC;ALL;;;;;;17,4;;;;;INBOUND_OUTBOUND;;;;;;;;;;;;0,3;METERS;;;;;;;;;;;;;
N Z100/6/186;FRESH_WATER_ALLOWANCE;ALL;;;;;;17,4;;;;;INBOUND_OUTBOUND;;;;;;;;;;;;2,5;PERCENTAGE;;;;;;;;;;;;;
N Z100/6/1217;FRESH_WATER_ALLOWANCE;ALL;;;;;;17,4;;;;;INBOUND_OUTBOUND;;;;;;;;;;;;2,5;PERCENTAGE;;;;;;;;;;;;;
